id,title,popularity,vote_average,vote_count,month,Year,day,best
960258,Shark Bait,34.679,5.7,318,5,2022,13,Best
11067,Major League II,16.374,5.7,320,3,1994,30,Not Good
20856,Aliens in the Attic,20.437,5.7,973,7,2009,30,Best
14098,100 Feet,18.927,5.7,304,7,2008,22,Not Good
11398,The Art of War,12.022,5.7,477,8,2000,25,Not Good
11472,Nine Months,17.622,5.7,631,7,1995,12,Not Good
9562,Timeline,26.355,5.7,1041,11,2003,26,Best
485811,Redcon-1,21.648,5.7,303,9,2018,7,Best
270774,Skiptrace,22.066,5.7,670,7,2016,21,Best
480105,47 Meters Down: Uncaged,22.417,5.7,1390,8,2019,15,Best
48988,Hall Pass,24.921,5.7,1926,2,2011,25,Best
2087,The Getaway,22.47,5.7,328,2,1994,11,Best
385360,Billionaire Boys Club,13.225,5.7,458,7,2018,19,Not Good
230222,Tarzan,22.784,5.7,585,10,2013,17,Best
59115,Quarantine 2: Terminal,13.221,5.7,531,6,2011,16,Not Good
10723,Bulletproof,12.428,5.7,569,9,1996,6,Not Good
397422,Rough Night,19.368,5.7,1963,6,2017,15,Not Good
70435,Haywire,17.259,5.7,1333,11,2011,1,Not Good
36599,Prom Night,15.854,5.7,414,7,1980,18,Not Good
23410,The Thaw,18.424,5.7,304,8,2009,30,Not Good
